Name;Vote Account;Identity;REV;Inflation;MEV;Tx;User Tx;Vote Tx;Pri Fees;Sig Fees;Rewards;Stake;Votes;Latency;CU;Leader Slots;actual_stake_sol;stake_rank;mev_rank;rev_rank;inflation_pct;sig_fees_pct;priority_fees_pct;mev_pct;rev_pct;is_top10_stake;is_top20_stake;is_top50_stake;is_top10_mev;is_top20_mev;is_top50_mev;is_top10_rev;is_top20_rev;is_top50_rev
Gemini;GEM1N1pCDGKiTa547eckcwuHWYMsUQeXgnXHfEZLDvpB;GEM1N1UE3C8BB8EaaEPrcFvT3iLMVrurknjW5AYjUReR;0.29779932727272723;0.27294772727272726;0.002261;1363.0;593.0;770.0;0.0189863;0.0036161;0.0225906;856.0;3235.0;1.018;38709436.0;132.0;112992;458;570;649;17.35;92.89;37.63;25.13;14.85;0;0;0;0;0;0;0;0;0
Blocmates X Firstset;HYUU9pLdZRXsMSy3efikYHLKagtubP2UZYtmfwP9FXpu;BhNnboEZb3mKkVADMH11cYGWCqefAfmhzx5rU4eRTKGY;0.29751510000000003;0.2745825;0.0072068;1339.0;566.0;773.0;0.0122171;0.0035185;0.0157258;863.0;21432.0;1.013;37449627.0;20.0;17260;742;175;650;18.0;80.39;5.0;77.11;14.72;0;0;0;0;0;0;0;0;0
val37;2QE9X9X4tdDUTYic1DgBBJjU7cWUNPbKYGerCb9KqDQN;CpuDNi3iVoHXbaT8gHpzKe6rqeBasoYjEKi21q7NRVJS;0.2974915155172414;0.2512527155172414;0.0116732;1294.0;526.0;768.0;0.0311761;0.0034013;0.0345656;788.0;1829.0;1.031;33563070.0;232.0;182816;334;71;651;9.99;38.82;89.74;90.79;14.59;0;0;0;0;0;0;0;0;0
Blockchain at Columbia;FRqYRkp3tUoBc62pnabeX8SVr6p3v6HM2tzT2NVshrk;q1yPXLsYcJhzxhUYLewFDjYmsBh2gDFnYqrZ9VPshrk;0.2973185142857143;0.2694932142857143;0.0036734;1352.0;586.0;765.0;0.0206156;0.0035489;0.0241519;845.0;3872.0;1.509;36849383.0;56.0;47320;677;436;652;15.77;86.71;50.0;42.76;14.45;0;0;0;0;0;0;0;0;0
SoLove;8EVaZkBcoJAAyyRZfozNAnZiEopgPvnixx5Ja5PpVDae;4aRPyjsqqFsf5488a9QAaHJLQJMGwoL5P6wRtLmroe2d;0.29725633529411766;0.27326073529411765;0.0004258;1305.0;539.0;766.0;0.0201595;0.0034223;0.0235698;857.0;2103.0;1.011;33358708.0;204.0;174828;345;723;653;17.74;46.58;46.05;5.0;14.32;0;0;0;0;0;0;0;0;0
Solana.capital;irKsY8c3sQur1XaYuQ811hzsEQJ5Hq3Yu3AAoXYnp8W;FoigPJ6kL6Gth5Er6t9d1Nkh96Skadqw63Ciyjxc1f8H;0.2972342578947369;0.25745065789473687;0.002612;1252.0;502.0;750.0;0.0338921;0.003293;0.0371716;807.0;5637.0;1.014;31726732.0;76.0;61332;621;538;654;11.17;14.08;92.89;29.34;14.19;0;0;0;0;0;0;0;0;0
OmegaNode Validator;EMVmh5hF6LT1sZM9G7dEX1bykRYEymWY2vtE7QHBBAW6;omeg2wsojzB7tfyAxsFhp8npxHL8yxVnaf51poXCwSd;0.29716205714285715;0.27248535714285715;0.0034156;1266.0;499.0;767.0;0.0179757;0.0032984;0.0212611;854.0;5108.0;1.011;33839932.0;84.0;71736;567;457;655;17.08;15.0;30.66;40.0;14.06;0;0;0;0;0;0;0;0;0
MX Validator;Mxv1Ubm71XoUvxrN3qjN8ii6Bh5b43NuuKywsWx6ox2;mXv18ov8qCiQGs3ieoen981LdgZzYJjJak6reK6fpNC;0.2969495580645162;0.26124725806451615;0.0019056;1350.0;578.0;772.0;0.0302368;0.0035718;0.0337967;823.0;1635.0;1.222;35945967.0;248.0;204104;289;621;656;12.61;89.21;88.29;18.42;13.93;0;0;0;0;0;0;0;0;0
dTelecom;DTELA4aHtJB8zcMJvKgcUjAYfkGcKdRUN77cpFoMVgxz;DTELykegBxxEn9c15GbH1zbYFr9CFd8VHQnhTGfz5JLb;0.2964363916666667;0.2830622916666667;0.0027243;1042.0;273.0;769.0;0.007935;0.0027217;0.0106498;887.0;8928.0;1.014;18734199.0;48.0;42576;687;532;657;22.21;1.32;0.79;30.13;13.8;0;0;0;0;0;0;0;0;0
StakeWolf;DQ7D6ZRtKbBSxCcAunEkoTzQhCBKLPdzTjPRRnM6wo1f;HzrEstnLfzsijhaD6z5frkSE2vWZEH5EUfn3bU9swo1f;0.29626291160220997;0.26590591160220994;0.0061175;1323.0;557.0;765.0;0.0207741;0.0034776;0.0242395;860.0;592.0;1.01;35760897.0;724.0;622640;127;231;658;14.45;68.82;51.58;69.74;13.67;0;0;0;0;0;0;0;0;0
;spuraUaJeFZfdbgXpJhgqEHFAXatfrMArARXhXioxKd;spur5CDwBvTZszvy1ozGjRc1x2TuDWo3VF4jrq7zgvD;0.29581245000000006;0.27523325000000004;0.0016115;1289.0;521.0;767.0;0.015594;0.0033861;0.0189677;864.0;3573.0;1.012;35429325.0;120.0;103680;475;666;659;18.66;34.08;16.84;12.5;13.53;0;0;0;0;0;0;0;0;0
