epoch;total_txns;total_vote_txns;total_non_vote_txns;total_success_txns;total_failed_txns;total_cu;total_all_fees_sol;total_base_fees_sol;total_priority_fees_sol;total_jito_tips_sol;total_slots;total_skipped_slots;total_packed_slots;total_jito_transactions;total_priority_txns;validator_count
893;907324;626602;280722;852020;54925;22784525297;20935.430549;5294.57208;17007.412404;6844.272386;864006;686;863320;47842562;228962812;793
894;864272;624919;239353;818701;45183;21766690109;15755.590628;5047.77402;11918.193673;4991.141928;864006;646;863360;37205062;199367673;793
895;877245;621564;255681;824622;52230;21735283110;16480.821253;5134.722;12596.328623;4991.222813;864002;722;863280;40108662;208841734;786
896;873343;625806;247537;826022;46939;20546381229;16996.784507;5097.215405;13112.487077;5056.282993;864006;710;863296;39501258;200644358;789
897;878116;623520;254596;828044;49685;20695040151;16493.830065;5121.63636;12604.503695;5047.349358;864006;462;863544;41320417;206114875;788
898;836469;622942;213527;803828;32263;18011649545;15018.630838;4877.428385;11176.956978;4144.627746;864006;658;863348;34059415;170933575;786
899;881020;623941;257079;834967;45659;21530820009;17692.064098;5157.3489;13750.751268;5772.100642;864002;732;863270;40093084;206144410;786
900;855674;621199;234475;820386;34877;19942134853;14992.743884;5059.45971;11071.010834;4566.383643;864006;284;863722;39082931;186785579;787
901;838531;626035;212496;808972;29161;17506340057;15528.600101;4909.93501;11646.674911;4499.141827;864014;1122;862892;33679755;166278774;789
902;849341;614885;234456;811710;37263;19169025343;18569.770187;5028.69495;14706.417927;5990.171362;864002;2664;861338;37024130;189194824;786
903;846078;613180;232898;807999;37704;18665286054;17812.700113;5044.03276;13919.016343;5936.786429;864010;368;863642;33462791;183969828;783
904;849381;610159;239222;804987;44004;19378199114;19301.099974;5050.07964;15403.310874;5562.693883;864006;688;863318;33901893;186602199;782
905;871000;606836;264164;802807;67803;21940537068;20884.705244;5192.405565;16997.814799;7178.890998;864014;1018;862996;37365431;215233227;782
906;917059;607186;309873;840577;76100;25303795264;26486.224348;5482.787155;22547.543878;9892.298179;864014;952;863062;47291538;256984993;785
907;904585;604508;300077;841152;63083;23830209483;24361.463328;5452.87552;20418.961528;7757.06157;864002;1792;862210;43116274;247721542;782
908;870765;604122;266643;821326;49077;21597272050;22722.026152;5187.72398;18839.033872;6176.758029;864002;4954;859048;35842640;215797008;784
909;897869;598995;298874;837079;60403;23477354348;25195.510109;5361.01807;21294.028909;7016.969577;864002;10178;853824;40666414;241387018;786
910;943372;601782;341590;873618;69357;27136562491;28301.890029;5689.270445;24334.690889;8708.898863;864006;2568;861438;46216556;288386602;783
911;942271;601400;340871;869179;72722;27533348183;32785.371577;5726.39078;28791.158497;11035.565346;865764;1238;864526;47381394;290938182;777
912;917657;597578;320079;851059;66205;26823751362;24780.706541;5652.870745;20801.512071;7697.960615;868148;842;867306;44090140;276587560;778
913;957804;597643;360161;879835;77570;28872014587;27856.134696;5833.880605;23873.841531;9762.002997;865480;1278;864202;51937367;314225020;779
914;989753;599176;390577;894747;94620;30260636977;28452.838621;6017.52265;24410.945591;8207.53837;864002;1728;862274;59978002;334851324;780
915;964873;596856;368017;887170;77310;28014357158;28779.842888;5883.487415;24748.304183;8895.862183;864009;2142;861867;55590721;306562706;782
916;1040291;594850;445441;943121;96785;35665871729;43014.941435;6306.16821;38940.321055;17640.18548;864002;3436;860566;79576328;380006530;780
917;1010707;588148;422559;916909;93413;33486756923;41152.524768;6193.65342;37054.967808;14883.087504;864002;3952;860050;64987278;354895352;779
918;1063758;589217;474541;945444;117924;36125027179;42459.209256;6499.65447;38296.636186;15214.631254;864000;3316;860684;79825654;401582012;780
919;1064098;591633;472465;936908;126812;35487650434;34805.982638;6485.98858;30616.386138;13011.5024;864002;1870;862132;75591474;393856170;781
920;1102910;592536;510374;963070;139454;36811057542;34657.493633;6650.95962;30429.025593;11997.108011;864002;1418;862584;77436106;420260968;780
921;1107443;596021;511422;946153;160903;35555798617;37544.953307;6603.01138;33339.207747;15545.087359;864028;2290;861738;72866191;415299838;789
922;1069986;590425;479561;917857;151723;34008938894;39103.299707;6471.29494;34906.888987;19605.33613;864002;1356;862646;75235780;390432206;780
923;979443;593629;385814;886676;92378;30533160155;30262.490279;5971.48459;26138.948939;8038.383847;864002;1928;862074;61769734;303588000;784
924;1004833;593580;411253;902996;101454;32014582713;33385.941371;6128.26389;29225.678841;8699.717585;864002;1196;862806;62079000;330637466;778
925;975746;593614;382132;881033;94330;30525210957;31560.207879;5942.26242;27506.733149;7198.556844;864002;674;863328;54462672;320283546;776
926;921848;592223;329625;845917;75542;26229740838;26433.621727;5645.44496;22450.172557;5593.220524;864002;932;863070;37345904;277608216;777
927;939077;590863;348214;850800;87919;26837819999;31428.87656;5651.66427;27474.38349;7123.308665;864002;1712;862290;42039512;297629460;776
928;963134;590273;372861;861773;100990;29372310787;37991.867777;5757.107975;34038.898067;8915.198419;864006;1762;862244;41292419;320813922;778
929;985920;592598;393322;877783;107777;32082719074;33554.87479;5909.958605;29519.391885;7885.906314;864006;920;863086;43305911;331106822;776
930;991616;593452;398164;884031;107214;32677566130;31712.909886;5969.96467;27698.423406;7226.396057;864002;2266;861736;45185906;333294502;778
931;1032677;591679;440998;906112;126161;34066035484;36855.720388;6191.51006;32829.446028;8669.895168;864490;1478;863012;51211646;377759270;777
932;1038100;588750;449350;903994;133737;32463732388;35853.932164;6283.28991;31689.218689;8303.831635;866048;924;865124;48120252;371253333;776
933;1028155;569715;458440;879775;147994;34879774527;33486.527815;6342.81505;29315.22805;7816.665074;866102;2448;863654;47232046;375965479;770
934;1017183;574684;442499;883743;133070;32580281175;31875.020559;6257.518005;27693.383794;7085.827947;866312;2270;864042;48217261;355947783;770
935;1056274;577192;479082;895370;160551;32528408779;24123.227461;4592.443885;21153.206016;5437.590747;615144;666;614478;35754822;283794174;770
