epoch;jito_total_mev_lamports;jito_total_mev_sol;jito_stake_weight_lamports;jito_mev_reward_per_lamport
515;77673812779;77.673813;137443013469482674;5.651346752248444e-07
516;45933119860;45.93312;141122736961344384;3.254834823149849e-07
517;47313196258;47.313196;149563354895414197;3.1634217011971214e-07
518;55136910630;55.136911;155751759718351542;3.54005057340636e-07
519;28591154555;28.591155;155466943362194165;1.8390504075448802e-07
520;68593748571;68.593749;147028309933503126;4.665342926272027e-07
521;87972694550;87.972695;149492117880023795;5.884771437956565e-07
522;271135901707;271.135902;155061851289257446;1.7485661331439557e-06
523;286915691804;286.915692;160583875655855466;1.786702996376075e-06
524;129738673138;129.738673;162402899506449896;7.988691921898068e-07
525;270865645355;270.865645;163969121236294018;1.6519308227837522e-06
526;1583817304684;1583.817305;163313629610604406;9.6980105607864e-06
527;208954031565;208.954032;158091160706884769;1.3217312759972683e-06
529;202964737175;202.964737;161926146651452811;1.2534401724008357e-06
530;454681053089;454.681053;163114306882566166;2.787499525816253e-06
531;260518806124;260.518806;164230138301414490;1.5863032742861436e-06
532;177209546800;177.209547;163664516630950797;1.082760945670295e-06
533;177159863767;177.159864;166848671616487090;1.0617996658326047e-06
534;226294747611;226.294748;159824421964225830;1.4158959239762025e-06
535;648879217679;648.879218;161000935789456743;4.0302822744306824e-06
536;243687988131;243.687988;162887007951235079;1.4960554018154414e-06
537;130687909996;130.68791;163479675049943647;7.994138106530635e-07
538;102769299267;102.769299;166239476338986147;6.182003308133542e-07
539;155429711447;155.429711;163486946826012121;9.507163383044464e-07
540;108014313357;108.014313;163665271221668826;6.599708817315619e-07
541;172668777856;172.668778;163932441700505373;1.0532922956851663e-06
542;116277783301;116.277783;167083444306382631;6.959264203805868e-07
543;471570758315;471.570758;170019422229692135;2.7736287544720586e-06
544;931724547197;931.724547;171562370977953273;5.430821117042803e-06
545;1775876986474;1775.876986;176951585205086332;1.0035948445535337e-05
546;4194046609582;4194.04661;181915898807158666;2.3054865666402974e-05
547;1978995506056;1978.995506;182493927397300610;1.0844171826866347e-05
548;3803118943469;3803.118943;182586823431086382;2.0829098573503628e-05
549;5876832799086;5876.832799;187686745415200567;3.131192235277602e-05
550;3595049041702;3595.049042;185907150931197246;1.933787389938808e-05
551;4824675628451;4824.675628;186017938880556905;2.5936614809762783e-05
552;2708147610532;2708.147611;186338856411503643;1.4533456213509381e-05
553;1544624378694;1544.624379;186006600449506399;8.304137460505364e-06
554;3268576200419;3268.5762;186430636518201298;1.753239843763494e-05
555;3169706884046;3169.706884;185017113260545773;1.713196594729234e-05
556;1946254888364;1946.254888;184830941290623652;1.0529919259047415e-05
557;2115358143566;2115.358144;187667854659862640;1.1271819286259582e-05
558;3948419684281;3948.419684;189017511092982125;2.0889174031810633e-05
559;2178576458242;2178.576458;189857430495374743;1.147480218476397e-05
560;3017963398559;3017.963399;192049547380916737;1.5714504093951767e-05
561;3494523534241;3494.523534;195074574475402893;1.791378268356355e-05
562;4688081968866;4688.081969;196896949901699717;2.380982524719917e-05
563;4600931718445;4600.931718;197427918739890994;2.3304362158153905e-05
564;4150848292751;4150.848293;197787107821295212;2.0986445165583685e-05
565;4906892990909;4906.892991;201018281673129364;2.4410182745905527e-05
566;4995061680824;4995.061681;203312562158236313;2.456838686109513e-05
567;10757673049110;10757.673049;202857900559226925;5.303058455921051e-05
568;8081591755420;8081.591755;205077774856192034;3.9407448033250335e-05
569;4610776835699;4610.776836;208225211187421227;2.214322083961721e-05
570;4417242600958;4417.242601;228822268335499378;1.9304251430990255e-05
571;3465171889807;3465.17189;227691373866015009;1.5218722742856655e-05
572;2958806304513;2958.806305;227655646427335733;1.299685007135286e-05
573;5572312052280;5572.312052;230568859070151849;2.4167669800476365e-05
574;4719177069533;4719.17707;233207125983697753;2.0235990000849682e-05
575;3438782218402;3438.782218;236667306021358183;1.4530026458710207e-05
576;3064881237088;3064.881237;237486004326761062;1.2905523615071553e-05
577;2807566607125;2807.566607;239218937065848667;1.1736389441243e-05
578;2792983313059;2792.983313;238530761323199531;1.170911163644265e-05
