account,name,activeStake,softwareClient
Cu9Ls6dsTL6cxFHZdStHwVSh1uy2ynXz8qPJMS5FRq86,"Stardust Staking - 0% fee forever + MEV 0% fee",525947606390661,AgaveBam
7EzbSahSfSjeRexHcNDLDpzHBAGBLjLKtjbmuoQnEtjE,"Gate Earn",522655198775214,JitoLabs
7CR3Jq4ny2tsr3DX3DvyjoU8TYs776MGkU6nLMWjAqCT,"Bitcoin Suisse",514436170360706,AgaveBam
grptonHnt7YSmJokGK9TJJTBXDT8ca4LSWMHCCfzzPa,"gripto",513167921680591,Frankendancer Rev
Certusm1sa411sMpV9FPqU5dXAYhmmhygvxJ23S6hJ24,"Asymmetric Research",511422804835601,Frankendancer
vALigXFg9wnnhVHN16vNxHxXtAXiBv5QjAE6udoniBY,"Valigator Open",503025070146287,AgaveBam
9USijQaAfSzw6gWbHNq68VVigmj3HvffDJYhbK4tfquB,"Lord Validates-a-Lot",501941362920953,JitoLabs
E5UXkzUxqEXpeDf3WsrMZHTs2ZSSBpAz7G4hpGwgRGDT,"QubitNexus",499641424797765,JitoLabs
7tqeaFKsg2K9xKnQWe61w71AtCZVMQvG4hbFAiFAngYw,"",488299361466803,AgaveBam
2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,"Blueprint",485123017008472,Frankendancer
2mMGsb5uy1Q4Dvezr8HK2E8SJoChcb2X7b61tJPaVHHd,"Chainflow",484189785639231,Frankendancer
6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV,"Pier Two",476174009467674,AgaveBam
AqyRvpjjSN6jWYPxijoJwhmKwJFk6fRYDh9fQZHcJ2o7,"STSS Validator",461128183122408,JitoLabs
8cqck84coxk8TGXYBD95QosKCEA6fKwXLevcEv3oGmu8,"Orbyval",457065489640147,JitoLabs
CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm,"Lion3d | 0% Forever + Block Rewards Sharing",450259786246443,AgaveBam
4SNKY7GCp7ohY4AawND5Cc2D71sWMWN3Uifo854yvtks,"",450000012302570,Frankendancer
mineL1YNwcRnxN93B2sX6q22R11WfRqxnY4NBV8KfFY,"Exo Tech",437170933530694,AgaveBam
6vG7fgweSfvY7JRViG4HwKgV9u6JKhMpf2bqr6TKNjUW,"InfraMesh",427771995313745,JitoLabs
3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS,"Chainode Tech & MEV(0% Fee)",425642128316412,JitoLabs
HcZvwZ83PfjrQDiq3GLHxisTs17aGURs6bJ2LwtmL4qv,"SolGuardian",423862553675224,JitoLabs
bkpk9KVsDRfrArzzmkJ9mPEvbXfQxczzQYR3QMGiR8Z,"Backpack",421649190865816,AgaveBam
Diman2GphWLwECE3swjrAEAJniezpYLxK1edUydiDZau,"diman",411995255468136,Agave
DF1owXYZ1fk5vWyHJ8s1cJeAozgkqsi1JUVqvktqrpwd,"",411744570092602,JitoLabs
EfPYQ4BUMiKa6736qqrtnCBGkUSRDGSr1WvtyUgWHuyp,"",398029331242855,AgaveBam
anza1rXDVhy1NfVNtsbT3kSBh2jgB1BGZUKuUibSAJd,"Anza",390678977450877,JitoLabs
9iFPQbP1jGkj67sXg6YLLGRUBVEDMcapdS6jmCZSnz8R,"",387672447035498,Harmonic
mint13XHZSSxtgHuTSM9qPDEJSbWktpmpM4CZxeLB8f,"Hanabi Staking 🎆 | Staking Champions | DoubleZero | ❌BAM",378289886544103,Frankendancer Rev
BfgMdL4FaNHp5zZpD7WMYG5sZUrCWQPEjXDwWS7M5q3F,"",375915704664573,JitoLabs
CkCMabrc3HgBgDkeKPXkbWuQpUuSqW7zs1Mg3HFArx61,"Sygnum Validators",368475876198134,JitoLabs
7Zm1pE4FubFYZDyAQ5Labh3A4cxDcvve1s3WCRgEAZ84,"7Zm1pE4FubFYZDyAQ5Labh3A4cxDcvve1s3WCRgEAZ84",366088456286888,AgaveBam
UPSCQNqdbiaqrQou9X9y8mr43ZHzvoNpKC26Mo7GubF,"",364931228710832,JitoLabs
DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp,"Block Logic +MEV +Triton",364031345583877,AgaveBam
Bi9kKNxfW2XqgCmLcuhHt6A3x55GuAGmrVZxRHLyVoQ4,"",358719299227989,HarmonicFrankendancer
BoNKmNCGvoHS4CkKvYRnF21iEpUP827pZjhFGdA4t5as,"BONK",357578197989333,Harmonic
GkFT5nmcFVmJiLwuE98PjdF3LReMeq4WbejFHfwrnsgw,"KAST",355754287332875,AgaveBam
2dfgsiSaZ51QYPsECMYMG247PXxyKdwkV9wTHoQb8YEC,"Astraeus",354238426306609,Rakurai
SSmBEooM7RkmyuXxuKgAhTvhQZ36Z3G2WsmLGJKoQLY,"SOL Strategies",348288525394002,Frankendancer
FyrwfMaomErzqrFUXMjCJ7mA4u81DsiDdrzC3MJD6d4j,"1dad | Solfège",346775027385831,AgaveBam
3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA,"Ghost",342517971774085,JitoLabs
5d9Mdc2Zk8as8GL1AxQeXxv5htBBvC5bjfmsXC7UUWwG,"Maera",342018650505081,JitoLabs
CXPeim1wQMkcTvEHx9QdhgKREYYJD8bnaCCqPRwJ1to1,"Jito1 (Experimental)",339467676447629,AgaveBam
