Name,Vote Account,Identity,REV,Inflation,MEV,Tx,User Tx,Vote Tx,Pri Fees,Sig Fees,Rewards,Stake,Votes,Latency,CU,Leader Slots
Bandito Stake,CwSZ17woioM2bqEbaswZJYvx5pemN6t3shBcU6zqPHyG,7Hp1e6BrTBkbBN4wFiNmycPVPsjvyUUBL2tGhYEMT6gt,0.37361518235294117,0.34648838235294116,0.0009473,1122,465,656,0.0232085,0.0029802,0.0261795,1087,3211,1.03,30496776,136
THW Validator,THWfRpcJSC7oDrNMSCcixTZmCHVBTEVQL4qnd1UTD1x,THWsLPufeq9LWs2H9vYPbtFwdxAHbQHvSbT6pztG8x1,0.3734402592592593,0.3211217592592593,0.0247408,1382,618,763,0.0239689,0.0036213,0.0275777,1009,1985,1.013,35032639,216
Quatro,5orRi4tMEGneZ9U2y381JnBEnsqFJDBSNQLhBn98Bkcv,FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH,0.37306978483412323,0.34199618483412325,0.001932,1311,543,768,0.025694,0.0034601,0.0291416,1082,507,1.015,35567232,844
Adrena,adrePWHJJQNNuMfK3QrBKXDZZuRFPRjhovMMeSr3Drz,adre1Xia7ekGsEqNgHeFc7MYwkfzTQNeJgQmZ2agAKZ,0.37261077857142855,0.32997517857142855,0.0153559,1204,462,742,0.0241397,0.003151,0.0272797,1036,8002,1.057,28397241,56
Stakeconomy 🚀 Jito MEV + Triton.One,GNZ1PAAS33davY4Q1BMEpZEpVBtRtGvSpcTH5wYVkkVt,4QNekaDqrLmUENqkVhGCJrgHziPxkX9kridbKwunx9su,0.3724832,0.342484,0.0054923,1301,534,767,0.021076,0.0034436,0.0245069,1075,3064,1.011,35253395,140
Soldea Kitchen,Ebm1XKkMzaFg2L5rzLPBnFHMtpDPa6SWJ7nVUzZUmXmR,2XmhZKHmfjku3T3nC9xKhgr5bm1CAmWXqNsNt49mo82C,0.37247016585365855,0.34044286585365857,0.004741,1323,556,766,0.0238091,0.0034893,0.0272863,1068,2614,1.014,37224614,164
SoLyrae,DPhzpiNGU9C6576uLsNSHmdi2AxwxpjMsRdh2iVC4TPh,7Nu9ckgtjobZ3MkbadGFKEvRymYuah9HmcxiUJKMM9NB,0.3721431333333333,0.3363853333333333,0.0114597,1404,634,770,0.0206033,0.0037083,0.0242981,1056,2342,1.076,38763744,180
zim.one | 0️⃣0️⃣,Hmq1oALENff8DejgYhJxB4njb6pyCtuMKKxotdZicB4n,2zykwzzo1pd3H2oSj5j5SRLTvmpa9Nr2S2Bh8tTVd5Tq,0.37197967391304343,0.32622717391304346,0.0094363,1276,534,742,0.0329674,0.0033605,0.0363162,1033,2195,1.141,33357823,184
TopReward,5DnWqsJceNamPNNUpMnVr1XQ8anSxcj9TXRD5Rn52prJ,TopjgY7N1fJdnW89S9fX6t7LF61nspgXGL1NpgAKhDG,0.37158575,0.34570125,0.0033407,1489,714,775,0.0185942,0.0039686,0.0225438,1084,13410,1.012,47695066,32
Magic Eden Validator,magiCChVWbehZ1e3XqQfLh164yUfQ8LnRWgSP9i4oFp,MagiCBYNPD9iTBXqiFybAFCREQzG6MSM4LmFLXQZxuV,0.37127503124999994,0.34460453124999996,0.0075233,1278,533,745,0.0157968,0.0033628,0.0191472,1082,2169,1.056,34100970,192
TIEXO,7zKQnt19j7aZ1YjzBk6UUUdr5dGb65A36kW1TYAbB6b7,8aPHvzVV91jZF948tykkoF6WfgLHppNfG8Z3V4gCrDix,0.37087821666666665,0.3147129166666667,0.0079968,1370,586,784,0.0445931,0.0035885,0.0481685,987,8930,1.012,37656829,48
🍞 STAKERY 🍞,6D9w8FRw5EFr5qtZEphPpughN3W8zc8p6zMXg4PFuaXL,AjGby82yXeYgj3kmng9y3c4nQpZFmiPpJKecLJTHbfbP,0.37055322142857144,0.34810982142857144,0.0044028,1304,532,771,0.0146115,0.0034408,0.0180406,1092,7647,1.016,33891609,56
Exo Tech,6q1VNp8Vy2Go12vb8CwbjUqqj2SXr2JYftJRWs71sW23,mineL1YNwcRnxN93B2sX6q22R11WfRqxnY4NBV8KfFY,0.3705423,0.337995,0.0057582,1310,550,760,0.0233653,0.0034356,0.0267891,1061,1045,1.02,34898524,412
,9BSZriSFS8Yb835exZwTLN19Dqy9B43yvuMAAdL3nBvz,sce2zXNjLpPMcSCATTrLiQhAAvHNNMKypTFVtg2H37U,0.37039628461538465,0.35156038461538464,0,1308,539,769,0.0153995,0.003449,0.0188359,1103,8129,1.034,33710551,52
Project 0 Horizon,mrgn2vsZ5EJ8YEfAMNPXmRux7th9cNfBasQ1JJvVwPn,mrgn28BhocwdAUEenen3Sw2MR9cPKDpLkDvzDdR7DBD,0.37019364062500004,0.321661640625,0.0037009,1399,630,769,0.0411257,0.0037172,0.0448311,1028,3353,1.011,37424482,128
Sign Labs 🤟,91413b9eEvG6UofpSgwdUgH9Lz4QBF1G3J325Bw7JwGR,6k1YkmTKwPRUhChnxA9ryJmbtuQMbro4xFTL6mL9jycB,0.3701288096774194,0.3421237096774194,0.0033328,1335,566,768,0.0211582,0.0035285,0.0246723,1073,3427,1.027,36880668,124
,JDMq8hxZnad2smKLGkFbfg8zVMZHKQcMugD4tMR9u2da,DUND26mEDfFeaPsVof3YvbXDRvpuQX7HMUJrLgEWzYw4,0.36912832047781563,0.33981552047781566,0.0023262,1326,563,763,0.0235043,0.0034935,0.0269866,1066,181,1.028,35919326,2344
Hamsa,8uEgdseqbUrDLfmHbUpTHoH1LLRxeViYDk7K6NdXKRYM,CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,0.36897636211453744,0.33970176211453745,0.0017073,1327,560,767,0.0240817,0.003498,0.0275673,1077,472,1.015,36418606,908
SolX +Mev,SzNm2zDpK3eJmSYR21pRaQ5b4wQ37ecds6det5YCZFP,ECeaWy82CxpeJQr3EG3XNmYXc9NrVeWDH5ag9Lt6TPVR,0.3688188789473684,0.3352290789473684,0.0048568,1316,546,770,0.025299,0.0034462,0.028733,1071,5644,1.01,36645516,76
