account,name,activeStake,softwareClient
HaLanfo94ezLc3JZ55qqxr7W3qbe1PprJyv2uEtriEqN,"Bella2.0",612448864086550,JitoLabs
BeaCHioStqCEFDFxKwAEzyrUPYxqnBPhJ98gDKeEiTPb,"Solana Beach Validator",611705808776104,Frankendancer
Frog1Fks1AVN8ywFH3HTFeYojq6LQqoEPzgQFx2Kz5Ch,"Leapfrog Systems 💎 No Fees",611496438119935,AgaveBam
GREEDkgav1ox1jYyd9Anv6exLqKV2vYnxMw5prGwmNKc,"GREED Academy - funding education",602403241736283,AgaveBam
Cogent51kHgGLHr7zpkpRjGYFXM57LgjHjDdqXd4ypdA,"Cogent ⚙️  by SOL Strategies",586528716601767,Frankendancer
MutT1jxCXbRWJXpXoJK259gLrNfzDezdxS3BSkQAmv1,"",581857644964470,JitoLabs
fishfishrD9BwrQQiAcG6YeYZVUYVJf3tb9QGQPMJqF,"stakefish 🐟",580688080240067,AgaveBam
23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er,"Stakin by The Tie",564904433027519,Frankendancer
aXiomFkk6VzXaBhPuhMqTLZZguCFzzbyP9LTtZ7ZHLQ,"Axiom",561734718291830,HarmonicAgave
G1bLKfyNm7zsmmYEL9dyxBvMtxpFcwy2s84bHDj2ZFUY,"P2P.org Turbo",559886181176668,JitoLabs
LA1NEzryoih6CQW3gwQqJQffK2mKgnXcjSQZSRpM3wc,"Laine ❤️  by SOL Strategies",559084370918218,AgaveBam
Cu9Ls6dsTL6cxFHZdStHwVSh1uy2ynXz8qPJMS5FRq86,"Stardust Staking - 0% fee forever + MEV 0% fee",552511327804167,AgaveBam
3ZfGPNhdvo1phyqKEFy3F2DnUjuxbgYqhg7GVCdPKsyo,"",550246424255685,Firedancer
DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp,"Block Logic +MEV +Triton",550205274825194,AgaveBam
7EzbSahSfSjeRexHcNDLDpzHBAGBLjLKtjbmuoQnEtjE,"Gate Earn",540995096109269,JitoLabs
grptonHnt7YSmJokGK9TJJTBXDT8ca4LSWMHCCfzzPa,"gripto",540026694023711,Frankendancer Rev
7CR3Jq4ny2tsr3DX3DvyjoU8TYs776MGkU6nLMWjAqCT,"Bitcoin Suisse",513732573691941,AgaveBam
Certusm1sa411sMpV9FPqU5dXAYhmmhygvxJ23S6hJ24,"Asymmetric Research",505569175662881,Frankendancer
9USijQaAfSzw6gWbHNq68VVigmj3HvffDJYhbK4tfquB,"Lord Validates-a-Lot",500150132757861,JitoLabs
vALigXFg9wnnhVHN16vNxHxXtAXiBv5QjAE6udoniBY,"Valigator Open",492773766881241,AgaveBam
9WzPWqKSqbE5PT9hMsmCDFjzpurAXEYCE9qrpVWp28KR,"",490196800732830,JitoLabs
7tqeaFKsg2K9xKnQWe61w71AtCZVMQvG4hbFAiFAngYw,"",488299361466803,AgaveBam
6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV,"Pier Two",484340258796005,AgaveBam
E5UXkzUxqEXpeDf3WsrMZHTs2ZSSBpAz7G4hpGwgRGDT,"QubitNexus",482436463393914,JitoLabs
2mMGsb5uy1Q4Dvezr8HK2E8SJoChcb2X7b61tJPaVHHd,"Chainflow",476946244225803,Frankendancer
2Wf9V9rPeVRUTfmWdPedCJuWVr6MFfyLuigEq42DuMDc,"Blueprint",467704477154776,Frankendancer
AqyRvpjjSN6jWYPxijoJwhmKwJFk6fRYDh9fQZHcJ2o7,"STSS Validator",464338877376713,JitoLabs
4SNKY7GCp7ohY4AawND5Cc2D71sWMWN3Uifo854yvtks,"",450000012302570,Frankendancer
CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm,"Lion3d | 0% Forever + Block Rewards Sharing",449468946037783,AgaveBam
mineL1YNwcRnxN93B2sX6q22R11WfRqxnY4NBV8KfFY,"Exo Tech",438828208660199,AgaveBam
5tfcGyf3NQFcufDigvbRt9kWoVN2KPEkBRUY3UaC3Zwm,"",437838914091979,AgaveBam
8cqck84coxk8TGXYBD95QosKCEA6fKwXLevcEv3oGmu8,"Orbyval",434642589342484,JitoLabs
